L (Lux);T (°);CO2;H (%)
0.83;16.2;76;96.8
2.5;16.2;75;96.5
561.67;16.1;78;96.7
640;15.9;79;96.5
568.33;16.1;79;96.6
935.83;16.4;80;96.1
971.67;16.2;80;96.5
675;16.2;81;96.9
835;16.2;84;96.9
835;16.8;85;94.7
335.83;16.3;90;95.3
420;16.3;91;95.9
380;16.4;90;95.2
2357.5;22.7;157;73
2334.17;23.1;158;72
2420;23.4;154;69.3
2578.33;23.8;156;69
2683.33;24.4;156;71.3
2875;25.2;159;76
47788.33;26.2;159;75.5
54612.5;26.6;158;66.8
54612.5;27.4;159;67.5
54612.5;28;160;66.2
54612.5;28.9;160;70.6
54612.5;29.3;158;62.3
54612.5;29.7;159;62.4
54612.5;30.4;159;70.4
54612.5;31;159;65.6
4917.5;31.1;150;61.1
3804.17;29.9;157;59.4
54612.5;29.1;159;62.5
11343.33;29.7;159;60.3
3617.5;29.3;154;58.8
54612.5;29;159;61.8
54612.5;29.6;157;62.1
54612.5;30;158;59.3
7863.33;29.8;157;59.5
3276.67;28.8;156;61.8
1668.33;23.5;150;76.4
1346.67;23.2;151;76.4
1319.17;23;149;76.9
1985;22.9;152;78.5
1193.33;22.7;151;80.2
1225;22.8;152;82
1222.5;23;156;80.9
2109.17;23;158;79.6
1995.83;23.1;162;80.2
1860;23.3;162;79.1
1632.5;22.7;152;82.4
1546.67;22.8;152;83.1
2313.33;22.7;149;82.1
2685.83;22.6;150;83.9
2021.67;22.5;137;84.2
1377.5;22.3;147;85.1
1564.17;22.1;147;84.9
1880.83;22;148;85.5
1541.67;21.9;147;86.5
982.5;21.9;149;86.7
748.33;21.8;148;86.5
723.33;21.7;149;87.5
865.83;21.6;149;87.2
900.83;21.7;149;88.9
930.83;21.7;137;88.4
955.83;21.8;150;88
1159.17;21.7;150;87
824.17;21.8;150;87.5
835.83;21.9;149;88
695.83;22;150;87.6
666.67;22.1;150;88.1
560.83;22;149;88
625.83;22.1;149;87.9
722.5;22;148;88.2
601.67;21.7;149;88.9
1260.83;21.6;149;89
688.33;21.3;149;90.1
835;21.1;137;90.3
298.33;21.1;148;90.6
382.5;21.2;148;89.8
513.33;21.3;148;90.2
432.5;21;150;91.5
420.83;21;149;91.7
313.33;21;149;91.6
241.67;21;147;91.4
155;20.9;149;92
147.5;20.9;148;91.8
121.67;20.8;147;91.8
112.5;20.6;145;92.6
89.17;20.5;145;93
89.17;20.4;145;93.1
85;20.2;145;93.7
67.5;20;147;94.3
0;20;147;93.7
74.17;20;146;94.8
62.5;19.9;145;94.9
54.17;19.9;147;95
31.67;19.9;147;95.2
38.33;20;147;95
35;19.9;146;95.2
38.33;19.7;144;95.5
27.5;19.6;144;95.8
20;19.6;144;95.9
12.5;19.5;146;96.4
6.67;19.6;146;96.2
4.17;19.6;145;96.1
1.67;19.6;147;95.9
0.83;19.6;146;96.4
0;19.5;147;96.6
0;19.5;146;96.3
0;19.6;145;96
0;19.5;144;95.8
0;19.4;135;95.8
0;19.5;142;95.8
0;19.5;146;95.4
0;19.6;144;95.3
0;19.6;145;95.1
0;19.6;147;95.1
0;19.7;149;95
0;19.9;150;94.8
0;20;152;94.7
0;20;153;94.7
0;20;151;94.2
0;20;144;94
0;20.1;151;93.8
0;20.2;151;93.8
0;20.4;151;93.4
33459.16;23.5;243;77.8
40263.33;23.9;223;75.1
0;23;34;79
145.83;23;34;72
267.5;23.2;40;72.1
9115;26.7;189;76.5
10540.83;26.9;186;78.9
33459.16;23.5;243;77.8
40263.33;23.9;223;75.1
0;23;34;79
145.83;23;34;72
267.5;23.2;40;72.1
9115;26.7;189;76.5
10540.83;26.9;186;78.9
71.67;22;87;70.2
0;22.1;34;72.9
0;22.3;36;70.8
3045.83;20.8;90;75.3
1266.67;20.6;91;73.1
1380;20.5;90;73.7
10415.83;22.5;103;81
54612.5;25.8;102;72.2
54612.5;25.8;99;72.2
0;22.5;34;71.3
11392.5;26.5;209;80
7505.84;26.1;219;79
7505.85;24.6;200;77.2
9410.83;26.1;207;75.8
2038.33;18.5;85;90.1
2815.83;18.4;76;89.3
4315;18.6;78;88.4
2489.17;18.6;78;88.4
1378.33;18.5;78;88.2
1120;18.4;77;89.6
761.67;18.4;78;89.2
1424.17;18.3;79;89.4
1885.83;18.5;82;89.9
3139.17;18.7;82;89.4
1988.33;18.9;91;88.1
2870;19;81;87.1
2441.67;18.8;79;85.3
3104.17;18.9;79;87.6
1315;19.7;86;83.7
4248.33;20;89;85
3525.83;20.3;87;83.6
3283.33;20.4;92;83.3
2482.5;20.5;87;82
1441.67;20.5;86;82.1
3635;20.4;94;80.4
5610.83;20.6;92;80.2
2185.83;20.7;92;81.1
54612.5;36.5;98;43.3
54612.5;35.1;96;40.7
54106.66;37.9;96;39.2
36375;37.9;93;39.2
15735;36.5;90;40.2
54612.5;40.2;89;40.2
11246.67;40.2;88;40.2
9119.17;31.4;90;48.1
9507.5;29.7;90;49.7
11905.83;29.7;88;49.7
18495.83;30.3;87;46.9
16394.17;30.3;86;48.7
54612.5;30.3;86;46.9
29302.5;30.86;86;46.9
21075;32.4;85;44.9
54612.5;33.3;85;45.8
54612.5;35;81;39.8
54612.5;35.6;84;40.6
54612.5;35.6;81;40.6
16014.17;29;76;52.6
18373.33;30.1;77;51.1
15732.5;31.1;77;47.7
19625.83;31.1;76;46.2
7351.67;30.8;76;44.6
7630;28.8;76;49.2
12080;28.4;205;77.6
17131.67;28.7;201;76.7
7254.17;28.6;190;76.3
9858.33;28.4;197;76.7
8106.67;28.3;196;75.3
15724.17;28.5;193;75.4
12750.83;29.1;192;75.6
9803.33;29.3;183;73
15302.5;29.3;189;74.2
12639.17;29.9;187;74.3
12669.17;29.9;188;70.5
12460.83;30.7;189;74.7
11649.17;29.3;72;49.5
10629.17;29.1;72;49.2
8481.67;28.6;72;54.1
20039.17;28.9;202;77.8
10239.17;29.2;187;78.1
19727.5;28.2;180;78.7
23219.17;29.2;180;74.8
18160.83;30;178;76.8
16508.33;30.4;171;73.4
13865.83;30.6;176;72.8
15552.5;30.8;176;74.2
21054.17;31.2;175;73.3
24837.5;32.2;176;74.4
21637.5;34.4;171;72.6
9117.5;35.6;171;60.9
7343.33;34.4;169;61.1
5998.33;33.3;169;63.8
5046.67;32.3;166;64.3
4273.33;31.4;166;65.4
3893.33;30.6;164;66.8
4139.17;29.9;164;68.4
4550;29.3;162;68.5
5057.5;28.9;163;70.1
5647.5;28.6;162;70.5
6408.33;28.5;162;72.7
6605.83;28.4;162;70.7
7458.33;28.3;154;72.4
8010;28.4;161;73.1
